K,H,W,C,R,T_p,T_k,T_c,W_p,W_k,W_c,B_p,B_k,B_c,TILE_C,Time
128,68,68,256,1,34,2,1,1,32,1,4,1,1,8,0.07578
128,68,68,256,1,2,16,1,8,4,1,17,1,1,1,0.21914
128,68,68,256,1,2,8,1,8,4,1,1,1,1,2,0.08906
128,68,68,256,1,4,2,1,4,8,1,1,4,1,1,0.090125
128,68,68,256,1,4,16,1,4,8,1,1,1,1,16,0.15565
128,68,68,256,1,68,2,1,1,32,1,1,1,1,64,0.33386
128,68,68,256,1,4,2,1,4,8,1,1,2,1,2,0.09112
128,68,68,256,1,34,2,1,4,8,1,1,4,1,4,0.09114
128,68,68,256,1,8,4,1,1,32,1,17,1,1,8,0.11315
128,68,68,256,1,2,4,1,4,8,1,1,1,1,64,0.17613
128,68,68,256,1,2,8,1,8,4,1,1,2,1,4,0.0655
128,68,68,256,1,8,2,1,2,16,1,1,2,1,16,0.058355000000000004
128,68,68,256,1,8,4,1,2,16,1,1,2,1,2,0.11005000000000001
128,68,68,256,1,4,4,1,2,16,1,1,1,1,64,0.39117
128,68,68,256,1,2,2,1,1,32,1,17,1,1,4,0.13514
128,68,68,256,1,34,4,1,1,32,1,4,1,1,2,0.14845
128,68,68,256,1,2,2,1,2,16,1,1,4,1,16,0.10086
128,68,68,256,1,34,4,1,2,16,1,4,2,1,16,0.21760000000000002
128,68,68,256,1,16,4,1,1,32,1,1,1,1,8,0.09114
128,68,68,256,1,34,2,1,4,8,1,1,2,1,8,0.08293
128,68,68,256,1,2,8,1,8,4,1,17,1,1,1,0.128
128,68,68,256,1,68,2,1,1,32,1,4,2,1,8,0.17512
128,68,68,256,1,34,2,1,8,4,1,1,8,1,8,0.11056
128,68,68,256,1,4,2,1,4,8,1,1,2,1,16,0.07066
128,68,68,256,1,34,2,1,1,32,1,8,2,1,8,0.18227
128,68,68,256,1,34,2,1,2,16,1,2,4,1,16,0.09421
128,68,68,256,1,2,2,1,4,8,1,2,2,1,32,0.07475
128,68,68,256,1,2,2,1,2,16,1,2,1,1,2,0.11776
128,68,68,256,1,34,2,1,4,8,1,2,4,1,4,0.13107
128,68,68,256,1,34,2,1,2,16,1,4,2,1,8,0.11056
128,68,68,256,1,34,4,1,1,32,1,2,1,1,4,0.14643
128,68,68,256,1,34,2,1,4,8,1,1,4,1,2,0.11978
128,68,68,256,1,4,4,1,1,32,1,1,1,1,2,0.11929999999999999
128,68,68,256,1,2,4,1,2,16,1,1,2,1,8,0.09523
128,68,68,256,1,8,4,1,1,32,1,2,1,1,2,0.109555
128,68,68,256,1,4,2,1,2,16,1,1,2,1,4,0.0768
128,68,68,256,1,16,2,1,1,32,1,1,1,1,2,0.10957
128,68,68,256,1,34,2,1,2,16,1,2,1,1,64,0.22221
128,68,68,256,1,2,2,1,4,8,1,1,4,1,8,0.08496
128,68,68,256,1,34,2,1,8,4,1,1,2,1,32,0.32205
128,68,68,256,1,4,2,1,4,8,1,1,2,1,8,0.065555
128,68,68,256,1,4,2,1,1,32,1,1,1,1,2,0.12083
128,68,68,256,1,34,2,1,1,32,1,4,2,1,8,0.10854
128,68,68,256,1,2,16,1,4,8,1,2,1,1,64,0.279535
128,68,68,256,1,34,2,1,4,8,1,1,1,1,16,0.26112
128,68,68,256,1,2,8,1,4,8,1,1,1,1,4,0.07066
128,68,68,256,1,34,4,1,4,8,1,1,1,1,1,0.18637
128,68,68,256,1,4,2,1,1,32,1,1,2,1,64,0.90931
128,68,68,256,1,2,4,1,2,16,1,1,1,1,64,0.7818400000000001
128,68,68,256,1,4,2,1,4,8,1,1,8,1,8,0.064
128,68,68,256,1,2,4,1,2,16,1,1,2,1,32,0.15869
128,68,68,256,1,2,2,1,8,4,1,1,2,1,256,0.15718
128,68,68,256,1,2,4,1,1,32,1,4,1,1,32,0.08807999999999999
128,68,68,256,1,2,4,1,8,4,1,17,1,1,8,0.072685
128,68,68,256,1,8,4,1,2,16,1,1,1,1,8,0.06451
128,68,68,256,1,2,2,1,2,16,1,2,1,1,8,0.084975
128,68,68,256,1,2,4,1,1,32,1,8,1,1,16,0.06144
128,68,68,256,1,4,2,1,1,32,1,1,1,1,16,0.11158
128,68,68,256,1,8,2,1,2,16,1,1,1,1,8,0.061485
128,68,68,256,1,34,4,1,1,32,1,1,1,1,16,0.348175
128,68,68,256,1,4,4,1,2,16,1,17,1,1,4,0.08704
128,68,68,256,1,68,2,1,1,32,1,1,2,1,8,0.28877
128,68,68,256,1,2,8,1,8,4,1,1,1,1,8,0.05837
128,68,68,256,1,2,4,1,4,8,1,1,2,1,1,0.09216
128,68,68,256,1,16,4,1,1,32,1,1,1,1,16,0.18125
